trial_id,participant_id,round_number,practice_round,input_lag,time_for_round,noticed_lag,ball_position,scored,accuracy
1,0,1,1,0,0.729629,0,0,1,-0.0656106
1,0,2,1,0,0.5804036,0,1,1,-1.04321
1,0,3,1,0,2.009216,0,2,0,25.49289
1,0,4,0,250,1.100928,0,0,1,-0.5828267
1,0,5,0,25,0.9203456,0,1,1,-0.5954447
1,0,6,0,75,0.8643046,0,2,1,3.859982
1,0,7,0,150,0.7944558,0,0,1,-1.805152
1,0,8,0,0,0.8681383,0,1,1,-1.32356
1,0,9,0,25,0.7700231,0,2,1,1.678597
1,0,10,0,25,0.8084768,0,0,1,7.548395
1,0,11,0,0,2.011004,0,1,0,-24.1025
1,0,12,0,150,2.007118,0,2,0,0
1,0,13,0,0,0.8924844,0,0,1,0.3669084
1,0,14,0,25,0.8650635,0,1,1,-2.622834
1,0,15,0,25,0.8801384,0,2,1,-2.398929
1,0,16,0,150,1.067062,0,0,1,4.670764
1,0,17,0,250,2.015269,0,1,0,0
1,0,18,0,75,0.7269261,0,2,1,2.195071
1,0,19,0,250,1.010886,0,0,1,0.02797646
1,0,20,0,250,2.003362,0,1,0,-24.80931
1,0,21,0,0,2.003503,0,2,0,29.06942
1,0,22,0,150,0.8116722,0,0,1,-0.1506579
1,0,23,0,250,2.009752,0,1,0,15.41927
1,0,24,0,250,1.021738,0,2,1,-7.424655
1,0,25,0,150,0.9320657,0,0,1,0.1802258
1,0,26,0,75,0.7592089,0,1,1,-0.1594763
1,0,27,0,250,1.339515,0,2,1,1.180718
1,0,28,0,75,1.674662,0,0,1,-1.926204
1,0,29,0,0,2.001594,0,1,0,0
1,0,30,0,75,0.9762809,0,2,1,7.0027
1,0,31,0,75,0.920644,0,0,1,5.843317
1,0,32,0,25,0.8522012,0,1,1,4.525761
1,0,33,0,0,0.9024881,0,2,1,7.386312
1,0,34,0,25,0.7993769,0,0,1,-0.0656106
1,0,35,0,150,1.418063,0,1,1,-6.531877
1,0,36,0,75,0.9128551,0,2,1,-0.9293623
1,0,37,0,0,0.7321572,0,0,1,1.072102
1,0,38,0,250,1.085457,0,1,1,-0.1856203
1,0,39,0,0,0.8250692,0,2,1,0.6085348
1,0,40,0,0,0.8706081,0,0,1,-0.7574393
1,0,41,0,150,1.349649,0,1,1,7.184662
1,0,42,0,75,0.8702682,0,2,1,-1.539489
1,0,43,0,75,2.001576,0,0,0,0
1,0,44,0,75,0.8581408,0,1,1,6.030796
1,0,45,0,250,2.006568,0,2,0,24.49842
1,0,46,0,75,0.7037644,0,0,1,2.047079
1,0,47,0,25,0.7203618,0,1,1,-0.4389219
1,0,48,0,25,0.8853774,0,2,1,-7.165627
1,0,49,0,150,1.261459,0,0,1,0.3171355
1,0,50,0,75,1.34792,0,1,1,3.057172
1,0,51,0,25,0.9457654,0,2,1,6.500558
1,0,52,0,0,0.9303516,0,0,1,3.18383
1,0,53,0,25,0.9887671,0,1,1,5.06829
1,0,54,0,150,1.050452,0,2,1,4.216638
1,0,55,0,0,1.460902,0,0,1,-0.966516
1,0,56,0,75,0.7283816,0,1,1,7.857828
1,0,57,0,250,1.126014,0,2,1,2.716987
1,0,58,0,0,2.023495,0,0,0,-59.47569
1,0,59,0,150,1.29144,0,1,1,6.285305
1,0,60,0,75,0.9738865,0,2,1,-0.3782167
1,0,61,0,25,1.489054,0,0,1,7.962375
1,0,62,0,150,1.094615,0,1,1,5.681358
1,0,63,0,150,0.7561201,0,2,1,-6.71397
1,0,64,0,25,0.7526478,0,0,1,0.1493534
1,0,65,0,0,1.194863,0,1,1,-3.281375
1,0,66,0,75,2.010622,0,2,0,23.80142
1,0,67,0,25,0.817803,0,0,1,4.41761
1,0,68,0,250,1.24151,0,1,1,-4.92402
1,0,69,0,0,2.009278,0,2,0,37.26147
1,0,70,0,150,1.025974,0,0,1,1.530079
1,0,71,0,250,0.8700261,0,1,1,-1.687551
1,0,72,0,250,2.011351,0,2,0,0
1,0,73,0,25,1.242629,0,0,1,6.832854
1,0,74,0,150,1.107675,0,1,1,1.278416
1,0,75,0,0,0.7465689,0,2,1,-1.358545
1,0,76,0,250,1.338612,0,0,1,-0.4575681
1,0,77,0,250,1.217144,0,1,1,6.552511
1,0,78,0,150,1.089176,0,2,1,-4.755084
