trial_id,participant_id,round_number,practice_round,num_rounds_since_survey,input_lag,time_for_round,total_bounces,player_1_bounces,player_2_bounces,total_misses,player_1_misses,player_2_misses,avg_dist_missed_by,bounces_per_miss,percent_bounces_missed,time_needed_on_misses,avg_time_needed_on_miss,min_ball_tat,paddle_width,ball_radius,ball_speed,distance_between_players,total_screen_width, paddle_takes_percent_of_screen
4,33,444,1,1,0,0,2.006793,0,0,0,2,1,1,2,0,1,0.320025:0.3269691,0.3234971,0.6,1,0.25,10,6,15.99222,0.06253041
4,33,444,2,1,0,100,2.000909,0,0,0,2,1,1,2,0,1,0.3327579:0.326005,0.3293815,0.6,1,0.25,10,6,15.99222,0.06253041
4,33,444,3,1,0,150,2.008857,1,0,1,1,1,0,1,1,0.5,0.3084984,0.3084984,0.6,1,0.25,10,6,15.99222,0.06253041
4,33,444,4,0,0,200,2.007193,0,0,0,2,1,1,2,0,1,0.3406391:0.3158455,0.3282423,0.6,1,0.25,10,6,15.99222,0.06253041
4,33,444,5,0,0,250,2.00978,1,0,1,1,1,0,1,1,0.5,0.6240005,0.6240005,0.6,1,0.25,10,6,15.99222,0.06253041
4,33,444,6,0,0,300,2.008132,1,1,0,1,0,1,1,1,0.5,0.3247948,0.3247948,0.6,1,0.25,10,6,15.99222,0.06253041
4,33,444,7,0,0,0,2.010012,0,0,0,2,1,1,2,0,1,0.2680206:0.2573738,0.2626972,0.5,1,0.25,12,6,15.99222,0.06253041
4,33,444,8,0,0,100,2.010491,1,0,1,1,1,0,1,1,0.5,0.2735329,0.2735329,0.5,1,0.25,12,6,15.99222,0.06253041
4,33,444,9,0,0,150,2.004963,1,0,1,1,1,0,1,1,0.5,0.2654533,0.2654533,0.5,1,0.25,12,6,15.99222,0.06253041
4,33,444,10,0,0,200,2.002106,0,0,0,3,2,1,3,0,1,0.5129967:0.279892:0.2570457,0.3499781,0.5,1,0.25,12,6,15.99222,0.06253041
4,33,444,11,0,0,250,2.002507,0,0,0,2,1,1,2,0,1,0.2499046:0.2882805,0.2690926,0.5,1,0.25,12,6,15.99222,0.06253041
4,33,444,12,0,0,300,2.003548,0,0,0,2,1,1,2,0,1,0.2672997:0.2647438,0.2660217,0.5,1,0.25,12,6,15.99222,0.06253041
